a	一个
implement	实施
implementable	可实施的
implementation	实施
implementer	实施者
implicate	牵连
implication	含义
implicit	含蓄的
implicitly	含蓄地
implicitness	含蓄
implode	内爆
implore	恳求
implosion	内爆
imply	暗示
impolite	不礼貌的
impolitely	不礼貌地
impoliteness	不礼貌
impolitic	不明智的
imponderable	无法衡量的
import	进口
importance	重要性
important	重要的
importantly	重要地
importation	进口
importer	进口商
importunate	坚持不懈的
importune	强求
importunity	紧急
impose	强加
imposingly	威风地
imposition	强加
impossibility	不可能
impossible	不可能的
impossibleness	不可能性
impossibly	不可能地
impost	税费
imposter	冒名顶替者
impostor	冒名顶替者
imposture	冒充
impotence	无力
impotency	无力
impotent	无力的
impotently	无力地
impound	扣押
impoundment	扣押
impoverish	使贫困
impoverishment	贫困
impracticability	不切实际
impracticable	不切实际的
impracticableness	不切实际
impracticably	不切实际地
impractical	不切实际的
impracticality	不切实际
imprecate	诅咒
imprecation	诅咒
imprecise	不精确的
imprecisely	不精确地
impreciseness	不精确
imprecision	不精确
impregnability	坚不可摧
impregnable	坚不可摧的
impregnably	坚不可摧地
impregnate	使怀孕
impregnation	怀孕
impresario	经理人
impress	印象
impression	印象
impressionable	易受影响的
impressionism	印象主义
impressionist	印象派画家
impressionistic	印象派的
impressive	给人深刻印象的
impressively	令人印象深刻地
impressiveness	印象深刻
impressment	征募
imprimatur	出版许可
imprint	印记
imprinting	印记
imprison	监禁
imprisonment	监禁
improbability	不可能
improbable	不可能的
improbableness	不可能
improbably	不太可能
impromptu	即兴的
improper	不适当的
improperly	不适当地
improperness	不适当
impropriety	不当行为
improvable	可改进的
improve	改进
improvement	改进
improver	改进者
improvidence	不经意
improvident	不经意的
improvidently	不经意地
improvisation	即兴创作
improvise	即兴创作
imprudence	轻率
imprudent	轻率的
impudence	厚颜无耻
impudent	厚颜无耻的
impudently	厚颜无耻地
impugn	质疑
impuissance	无力
impulse	冲动
impulsed	冲动的
impulsing	冲动
impulsion	冲动
impulsive	冲动的
impulsively	冲动地
impulsiveness	冲动
impunity	免责
impure	不纯的
impurely	不纯地
impureness	不纯
impurity	杂质
imputation	归咎
impute	归咎于
in	在
inability	无能力
inaccessibility	无法接近
inaccessible	无法接近的
inaccuracy	不准确
inaccurate	不准确的
inaccurately	不准确地
inaction	不作为
inactivate	使不活动
inactivation	不活动
inactive	不活动的
inactiveness	不活动
inactivity	不活动
inadequacy	不足
inadequate	不充分的
inadequately	不充分地
inadequateness	不充分
inadmissibility	不可容许
inadmissible	不可容许的
inadvertence	疏忽
inadvertency	疏忽
inadvertent	疏忽的
inadvertently	疏忽地
inadvisability	不明智
inadvisable	不明智的
inalienable	不可分割的
inamorata	女情人
inamorato	男情人
inane	空洞的
inanely	空洞地
inanimate	无生命的
inanimateness	无生命
inanition	虚弱
inanity	空洞
inapplicability	不适用
inapplicable	不适用的
inappositeness	不得体
inappropriate	不合适的
inappropriately	不合适地
inappropriateness	不合适
inapt	不恰当的
inaptitude	不适当
inaptness	不适当
inarticulate	不善于表达的
inarticulately	不善于表达地
inasmuch	因为
inattention	不注意
inattentive	不注意的
inattentiveness	不注意
inaudibility	听不见
inaudible	听不见的
inaudibleness	听不见
inaudibly	听不见地
inaugural	就职的
inaugurate	就职
inauguration	就职典礼
inauspicious	不祥的
inauspiciousness	不祥
inboard	船内的
inboards	船内的
inborn	天生的
inbound	进口的
inbred	同系繁殖的
inbreed	近亲繁殖
inbreeding	近亲繁殖
inbreeds	近亲繁殖
inbuilt	内置
inca	印加人
incalculable	难以估量的
incalculably	难以估量地
incalescence	升温
incandesce	发白热光
incandescence	白热光
incandescent	白炽的
incantation	咒语
incapability	无能力
incapable	无能力的
incapableness	无能力
incapacitate	使失去能力
incapacity	无能力
incarcerate	监禁
incarceration	监禁
incarnadine	深红色的
incarnate	具体化
incarnation	化身
incasement	包裹
incaution	不谨慎
incautious	不谨慎的
incautiousness	不谨慎
incendiarism	纵火
incendiary	纵火犯
incense	香
incentive	刺激
inception	开始
incertitude	不确定
incessancy	不断
incessant	不断的
incessantly	不断地
incessantness	不断
incest	乱伦
incestuous	乱伦的
inch	英寸
inchoate	未形成的
inchoative	开始的
inchworm	苍蝇幼虫
incidence	发生率
incident	事件
incidental	附带的
incidentally	顺便地
incinerate	焚烧
incineration	焚烧
incinerator	焚化炉
incipience	起初
incipiency	起初
incipient	初期的
incise	切割
incision	切口
incisive	尖锐的
incisively	尖锐地
incisiveness	尖锐性
incisor	切牙
incisure	缺口
incitation	煽动
incite	煽动
incitement	煽动
inciter	煽动者
incivility	不礼貌
inclemency	严酷
inclement	恶劣的
inclination	倾向
incline	倾斜
inclining	倾斜
inclinometer	倾角仪
inclose	围住
inclosure	围墙
include	包括
inclusion	包容
inclusive	包容的
inclusively	包容地
incognito	匿名
incognitos	匿名
incognizance	不知情
incoherence	不连贯
incoherency	不连贯
incoherent	不连贯的
incoherently	不连贯地
incombustible	难燃的
income	收入
incoming	即将到来的
incommensurate	不相称的
incommode	打扰
incommodiousness	不舒适
incommunicado	与外界隔绝的
incommutability	不可交换性
incomparable	无可比拟的
incomparably	无比地
incompatibility	不兼容
incompatible	不兼容的
incompatibles	不兼容的
incompatibly	不兼容地
incompetence	无能力
incompetency	无能力
incompetent	无能力的
incompetently	无能地
incomplete	不完整
incompletely	不完全地
incompleteness	不完整性
incomprehensibility	难以理解性
incomprehensible	难以理解的
incomprehensibly	难以理解地
incomprehension	不理解
incompressibility	不可压缩性
inconceivability	难以想象性
inconceivable	难以想象的
inconceivableness	难以想象性
inconceivably	难以想象地
inconclusive	无定论的
inconclusively	无定论地
inconclusiveness	无定论性
incongruity	不协调
incongruous	不协调的
incongruously	不协调地
incongruousness	不协调性
inconsequence	不重要
inconsequential	不重要的
inconsequentially	不重要地
inconsiderable	不值一提的
inconsiderate	不体贴的
inconsiderately	不体贴地
inconsiderateness	不体贴性
inconsideration	不体谅
inconsistency	不一致
inconsistent	不一致的
inconsistently	不一致地
inconsolable	无法安慰的
inconspicuous	不显眼的
inconspicuously	不显眼地
inconspicuousness	不显眼性
inconstancy	变化无常
inconstant	变化无常的
incontestable	无可争辩的
incontestably	无可争辩地
incontinence	失禁
incontinency	失禁
incontinent	失禁的
incontrovertibility	无可辩驳性
incontrovertible	无可辩驳的
incontrovertibleness	无可辩驳性
incontrovertibly	无可辩驳地
inconvenience	不便
inconvenient	不方便的
inconveniently	不方便地
inconvertibility	不可转换性
incoordination	不协调
incorporate	合并
incorporation	公司化
incorporeal	无实体的
incorporeality	无实体性
incorrect	不正确的
incorrectly	不正确地
incorrectness	不正确
incorrigibility	难以矫正
incorrigible	无可救药的
incorrigibly	无可救药地
incorruptibility	不腐败性
incorruptible	不腐败的
incorruption	不腐败
incorruptness	不腐败
increase	增加
increasingly	越来越多地
incredibility	难以置信
incredible	难以置信的
incredibleness	难以置信
incredibly	难以置信地
incredulity	怀疑
incredulous	怀疑的
incredulously	怀疑地
increment	增量
incremental	增量的
incremented	增加的
incriminate	控告
incrimination	控告
incriminatory	控告的
incrust	镶嵌
incrustation	镶嵌物
incubate	孵化
incubation	孵化
incubator	孵化器
incubus	恶梦
inculcate	灌输
inculcation	灌输
inculpability	无罪
inculpableness	无罪
inculpate	控告
inculpation	控告
incumbency	职责
incumbent	在职者
incumbrance	阻碍
incur	招致
incurability	不可治愈
incurable	不可治愈的
incurableness	不可治愈
incurably	不可治愈地
incurious	不感兴趣的
incurrence	发生
incursion	入侵
incurvate	弯曲
incurvation	弯曲
incurvature	弯曲
incus	鼓槌骨
indaba	会议
indapamide	印他脂
indebted	负债的
indebtedness	负债
indecency	不雅
indecent	不雅的
indecently	不雅地
indecipherable	难以辨认的
indecision	犹豫不决
indecisive	犹豫不决的
indecisively	犹豫不决地
indecisiveness	犹豫不决
indecorous	不得体的
indecorousness	不得体
indecorum	不得体
indeed	的确
indefatigability	不知疲倦
indefatigable	不知疲倦的
indefatigableness	不知疲倦
indefatigably	不知疲倦地
indefensible	无法辩护的
indefensibly	无法辩护地
indefinable	难以定义的
indefinably	难以定义地
indefinite	不确定的
indefinitely	无限期地
indefiniteness	不确定
indelible	持久的
indelibly	持久地
indelicacy	不雅
indelicate	不雅的
indelicately	不雅地
indemnification	赔偿
indemnify	赔偿
indemnity	赔偿
indene	茚
indent	缩进
indentation	缩进
indention	缩进
indenture	契约
independence	独立
independency	独立性
independent	独立的
independently	独立地
indescribable	难以形容的
indescribably	难以形容地
indestructibility	不可摧毁性
indestructible	不可摧毁的
indestructibly	不可摧毁地
indeterminable	不确定的
indeterminacy	不确定性
indeterminate	不确定的
indeterminately	不确定地
indeterminateness	不确定性
indetermination	不确定性
index	索引
indexation	索引化
indexer	索引器
indexing	索引化
indian	印度的
indianan	印第安纳的
indicant	指示物
indicate	指示
indication	指示
indicative	指示性的
indicator	指示器
indict	控告
indictable	可控告的
indiction	年号
indictment	控告书
indie	独立的
indifference	漠不关心
indifferent	漠不关心的
indifferently	漠不关心地
indigen	本地人
indigence	贫困
indigene	土著居民
indigenous	土生土长的
indigenousness	土生土长
indigent	贫困的
indigents	贫民
indigestibility	难消化性
indigestible	难消化的
indigestibleness	难消化性
indigestion	消化不良
indignant	愤怒的
indignantly	愤怒地
indignation	愤怒
indignity	侮辱
indigo	靛蓝色
indigotin	靛蓝
indirect	间接的
indirection	迂回
indirectly	间接地
indirectness	间接性
indiscernible	难以辨别的
indiscipline	不守纪律
indiscreet	不慎重的
indiscreetly	不慎重地
indiscreetness	不慎重
indiscretion	不慎重的行为
indiscriminate	无差别的
indiscriminately	无差别地
indispensability	不可或缺性
indispensable	不可或缺的
indispensableness	不可或缺
indispensables	不可或缺的物品
indispensably	不可或缺地
indispose	使不适
indisposition	不适
indisputability	不容置疑性
indisputable	不容置疑的
indisputably	无可争议地
indissoluble	不可溶解的
indistinct	不清楚的
indistinctly	不清楚地
indistinctness	不清楚
indistinguishability	不可区分性
indistinguishable	难以区分的
indite	写作
indium	铟
individual	个人
individualism	个人主义
individualist	个人主义者
individualistic	个人主义的
individuality	个性
individualization	个体化
individualize	个体化
individually	个别地
individuate	个体化
individuation	个体化
indivisibility	不可分割性
indivisible	不可分割的
indivisibly	不可分割地
indoctrinate	灌输
indoctrination	灌输
indolence	懒散
indolent	懒散的
indolently	懒散地
indomethacin	消炎药
indomitability	不屈不挠性
indomitable	不屈不挠的
indomitably	不屈不挠地
indonesian	印度尼西亚的
indoor	室内的
indoors	在室内
indorse	背书
indorsement	背书
indorser	背书人
indri	长臂猿
indris	长臂猿属
indubitability	不容置疑
indubitable	不容置疑的
indubitably	无疑地
induce	诱导
inducement	诱因
inducer	诱导剂
induct	引导
inductance	电感
inductee	新成员
induction	感应
inductive	归纳的
inductor	电感器
indue	给予
indulge	纵容
indulgence	放纵
indulgent	纵容的
indulgently	纵容地
indument	被毛
indumentum	被毛
indurate	硬化
induration	硬化
indusium	孢子囊盖
industrial	工业的
industrialism	工业主义
industrialist	实业家
industrialization	工业化
industrialize	使工业化
industrially	工业上地
industrious	勤奋的
industriously	勤奋地
industriousness	勤奋
industry	工业
indwell	居住
indweller	居住者
inebriant	醉人的
inebriate	使醉
inebriation	醉酒
inebriety	醉酒
inedible	不可食用的
ineducable	无法教育的
ineffable	难以言表的
ineffably	难以言表地
ineffective	无效的
ineffectively	无效地
ineffectiveness	无效性
ineffectual	无效的
ineffectuality	无效性
ineffectually	无效地
ineffectualness	无效性
inefficaciousness	无效性
inefficacy	无效性
inefficiency	低效
inefficient	低效的
inefficiently	低效地
inelastic	不弹性的
inelasticity	不弹性
inelegance	不优雅
inelegant	不优雅的
inelegantly	不优雅地
ineligibility	不合格
ineligible	不合格的
ineligibles	不合格的人
ineluctability	不可避免性
ineluctable	不可避免的
ineluctably	不可避免地
inept	不熟练的
ineptitude	不熟练
ineptly	不熟练地
ineptness	不熟练
inequality	不平等
inequitable	不公平的
inequity	不公平
inerrancy	无错误
inert	惰性的
inertia	惰性
inertial	惯性的
inertly	惰性地
inertness	惰性
inescapable	不可避免的
inescapably	不可避免地
inessential	不重要的
inessentiality	不重要性
inestimable	无法估计的
inestimably	无法估计地
inevitability	不可避免性
inevitable	不可避免的
inevitableness	不可避免性
inevitably	不可避免地
inexact	不精确的
inexactitude	不精确
inexactness	不精确
inexcusable	不可原谅的
inexcusably	不可原谅地
inexhaustible	不竭的
inexhaustibly	不知疲倦地
inexorability	不可动摇性
inexorable	不可阻挡的
inexorableness	不可阻挡性
inexorably	不可遏制地
inexpedience	不适当
inexpediency	不适当
inexpedient	不适当的
inexpensive	廉价的
inexpensively	廉价地
inexpensiveness	廉价
inexperience	无经验
inexperienced	无经验的
inexpert	不熟练的
inexplicable	无法解释的
inexplicably	无法解释地
inexplicitness	不明确
inexpressible	难以言表的
inextinguishable	难以扑灭的
inextricable	无法摆脱的
inextricably	无法分割地
infallibility	绝对可靠性
infallible	绝对可靠的
infallibly	绝对可靠地
infamous	臭名昭著的
infamously	臭名昭著地
infamy	恶名
infancy	婴儿期
infant	婴儿
infanticide	杀婴
infantile	幼稚的
infantilism	幼稚症
infantry	步兵
infantryman	步兵
infarct	梗塞
infarction	梗塞
infatuate	使迷恋
infatuation	迷恋
infeasibility	不可行性
infect	感染
infection	感染
infectious	传染性的
infectiously	有感染力地
infectiousness	传染性
infelicitous	不妥当的
infelicity	不幸
infer	推断
inference	推论
inferential	推论的
inferior	劣质
inferiority	劣势
infernal	地狱的
inferno	火海
infertile	不肥沃的
infertility	不肥沃
infest	大量滋生
infestation	大量滋生
infidel	异教徒
infidelity	不忠诚
infield	内场
infielder	内场球员
infighting	内斗
infiltrate	渗透
infiltration	渗透
infiltrator	渗透者
infinite	无限的
infinitely	无限地
infiniteness	无限
infinitesimal	无穷小的
infinitesimally	无穷小地
infinitive	不定式
infinitude	无限
infinity	无限
infirm	虚弱的
infirmary	医务室
infirmity	虚弱
infix	中缀
inflame	点燃
inflammability	易燃性
inflammable	易燃的
inflammation	炎症
inflammatory	煽动性的
inflatable	可充气的
inflatables	充气玩具
inflate	充气
inflater	充气器
inflation	通货膨胀
inflationary	通货膨胀的
inflator	充气器
inflect	屈折
inflection	屈折
inflectional	屈折的
inflexibility	不灵活
inflexible	不灵活的
inflexibleness	不灵活
inflexibly	不灵活地
inflict	造成
infliction	伤害
inflorescence	花序
inflow	流入
influence	影响
influential	有影响力的
influentially	有影响力地
influenza	流感
influx	涌入
info	信息
infomercial	电视购物节目
inform	通知
informal	非正式的
informality	非正式
informally	非正式地
informant	线人
information	信息
informational	信息的
informative	有益的
informer	告密者
infotainment	信息娱乐
infract	违反
infraction	违法行为
infrared	红外线
infrastructure	基础设施
infrequency	不频繁
infrequent	不经常的
infrequently	不经常地
infringe	侵犯
infringement	侵权
infundibulum	漏斗
infuriate	激怒
infuriatingly	令人恼火地
infuriation	愤怒
infuscate	使昏暗
infuse	注入
infusion	注入
infusorian	纤毛虫
ingathering	收集
ingeminate	重复
ingenious	聪明的
ingeniously	机智地
ingeniousness	机智
ingenue	天真无邪的女孩
ingenuity	独创性
ingenuous	真诚的
ingenuously	真诚地
ingenuousness	真诚
ingest	摄取
ingestion	摄取
inglenook	壁炉旁的座位
inglorious	不光彩的
ingot	锭
ingraft	移植
ingrain	灌输
ingrate	忘恩负义的人
ingratiate	讨好
ingratiatingly	讨好地
ingratiation	讨好
ingratitude	忘恩负义
ingredient	成分
ingres	进入
ingress	进入
ingroup	内部群体
ingrown	内生的
ingrowth	生长
ingurgitate	狼吞虎咽
inhabit	居住
inhabitable	适于居住的
inhabitancy	居住
inhabitant	居民
inhabitation	居住
inhalant	吸入剂
inhalation	吸入
inhalator	吸入器
inhale	吸入
inhaler	吸入器
inharmoniousness	不和谐
inhere	存在
inherence	存在
inherency	本质
inherent	内在的
inherently	内在地
inherit	继承
inheritance	遗产
inheritor	继承人
inheritress	女继承人
inheritrix	女继承人
inhibit	抑制
inhibition	抑制
inhibitor	抑制剂
inhomogeneity	不均匀
inhospitable	不好客的
inhospitableness	不好客
inhospitality	不好客
inhuman	不人道的
inhumane	不人道的
inhumanely	不人道地
inhumanity	不人道
inhumanly	不人道地
inhumation	埋葬
inhume	埋葬
inimical	敌对的
inimically	敌意地
inimitable	无法仿效的
inimitably	无法仿效地
inion	枕骨
iniquitous	邪恶的
iniquity	邪恶
initial	最初的
initialization	初始化
initialize	初始化
initially	最初地
initiate	开始
initiation	开始
initiative	主动性
initiator	创始人
inject	注射
injectant	注射剂
injection	注射
injector	注射器
injudicious	不明智的
injudiciousness	不明智
injunction	禁令
injure	伤害
injurious	有害的
injuriousness	有害
injury	伤害
injustice	不公正
ink	墨水
inkberry	冬青
inkblot	墨水渍
inkiness	墨水状
inkle	窄织带
inkling	暗示
inkpot	墨水瓶
inkstand	墨水台
inkwell	墨水瓶
inky	墨水的
inland	内陆的
inlay	镶嵌
inlet	水湾
inline	内联的
inmarriage	近亲结婚
inmate	囚犯
inmost	最内部的
inn	小旅馆
innards	内脏
innate	天生的
innately	天生地
innateness	天生
inner	内部的
innermost	最内部的
innersole	鞋垫
innervate	使神经兴奋
innervation	神经支配
inning	回合
innkeeper	客栈老板
innocence	无辜
innocency	无辜
innocent	无辜的
innocently	无辜地
innocuous	无害的
innocuously	无害地
innovate	创新
innovation	创新
innovative	创新的
innovativeness	创新性
innovator	创新者
innuendo	影射
innumerable	无数的
innumerableness	无数
inoculant	接种剂
inoculate	接种
inoculation	接种
inoculator	接种者
inoculum	接种物
inoffensive	无害的
inoffensively	无害地
inoperable	无法操作的
inoperative	无效的
inopportune	不合时宜的
inopportuneness	不合时宜
inordinate	过度的
inordinately	过度地
inordinateness	过度
inorganic	无机的
inosculate	近似
inosculation	近似
inosine	肌苷
inositol	肌醇
inpatient	住院病人
inpour	倾泻
inpouring	涌入
input	输入
inputted	输入
inputting	输入
inquest	审讯
inquietude	不安
inquire	询问
inquirer	询问者
inquiringly	好奇地
inquiry	询问
inquisition	审讯
inquisitive	好问的
inquisitively	好奇地
inquisitiveness	好奇心
inquisitor	审问者
inroad	侵袭
inrush	涌入
insalubrity	不健康
insane	疯狂的
insanely	疯狂地
insaneness	疯狂
insanity	精神错乱
insatiable	贪得无厌的
insatiably	贪得无厌地
inscribe	铭刻
inscription	铭文
inscrutability	难以理解
inscrutable	难以理解的
inscrutably	难以理解地
inseam	裤裆
inseams	裤裆
insect	昆虫
insecticide	杀虫剂
insectifuge	驱虫剂
insectivore	食虫动物
insectivorous	食虫的
insecure	不安全的
insecurely	不安全地
insecureness	不安全
insecurity	不安全感
inseminate	授精
insemination	授精
insensate	无感觉的
insensibility	无感觉
insensible	无感觉的
insensibly	无感觉地
insensitive	不敏感的
insensitively	不敏感地
insensitiveness	不敏感
insensitivity	不敏感
insentience	无知觉
insentient	无知觉的
inseparability	不可分割
inseparable	不可分割的
inseparables	不可分割的
inseparably	不可分割地
insert	插入
insertion	插入
inset	嵌入
insetted	嵌入的
inshore	沿岸
inside	内部
insider	内部人
insidious	阴险的
insidiously	阴险地
insidiousness	阴险
insight	洞察力
insightful	有洞察力的
insightfulness	洞察力
insigne	徽章
insignes	徽章
insignia	徽章
insignificance	无关紧要
insignificant	无关紧要的
insignificantly	无关紧要地
insincere	不真诚的
insincerely	不真诚地
insincerity	不真诚
insinuate	暗示
insinuation	暗示
insipid	乏味的
insipidity	乏味
insipidness	乏味
insist	坚持
insistence	坚持
insistency	坚持
insistent	坚持的
insistently	坚持地
insobriety	酒后失态
insofar	在这个范围内
insolate	晒太阳
insolation	日晒
insole	鞋垫
insolence	傲慢
insolent	傲慢的
insolently	傲慢地
insolubility	不溶性
insoluble	不溶解的
insolvable	无解的
insolvency	破产
insolvent	破产的
insomnia	失眠
insomniac	失眠的人
insouciance	无忧无虑
insouciant	无忧无虑的
inspan	挽起【马】
inspect	检查
inspection	检查
inspector	检查员
inspectorate	检查机构
inspectorship	检查员职位
inspiration	灵感
inspirational	鼓舞人心的
inspire	激励
inspirer	激励者
inspirit	鼓舞
inspissate	浓缩
inspissation	浓缩
instability	不稳定性
instal	安装
install	安装
installation	安装
installment	分期付款
instalment	分期付款
instance	实例
instancy	迫切
instant	立即的
instantaneous	瞬间的
instantaneously	立即地
instantaneousness	瞬间性
instantiate	实例化
instantiation	实例化
instantly	立即地
instar	蜕皮幼虫
instauration	恢复
instead	代替
instep	脚背
instigate	煽动
instigation	煽动
instigator	煽动者
instil	滴入
instill	滴入
instillation	滴入
instillment	分期付款
instilment	分期付款
instinct	本能
instinctive	本能的
instinctively	本能地
institute	学院
institution	机构
institutional	机构的
institutionalize	使制度化
instroke	向内击球
instruct	指导
instruction	指导
instructional	教学的
instructive	有益的
instructively	有益地
instructor	教练
instructorship	教练职位
instructress	女教师
instrument	乐器
instrumental	乐器的
instrumentalism	乐器主义
instrumentalist	乐器演奏者
instrumentality	手段
instrumentals	乐器演奏曲
instrumentation	乐器编曲
insubordinate	不服从的
insubordination	不服从
insubstantial	无实质的
insubstantiality	无实质性
insufferable	难以忍受的
insufferably	难以忍受地
insufficiency	不足
insufficient	不足的
insufficiently	不足地
insufflate	吹入
insufflation	吹入
insulant	绝缘材料
insular	岛屿的
insularism	岛屿主义
insularity	岛屿性
insulate	绝缘
insulation	绝缘
insulator	绝缘体
insulin	胰岛素
insult	侮辱
insuperable	难以克服的
insupportable	无法支持的
insurability	可保险性
insurance	保险
insure	保险
insured	被保险人
insurer	保险公司
insurgence	叛乱
insurgency	叛乱
insurgent	叛乱分子
insurmountable	难以克服的
insurrection	叛乱
insurrectionism	叛乱主义
insurrectionist	叛乱分子
intact	完整的
intactness	完整性
intaglio	凹版印刷
intake	摄入
intangibility	无形性
intangible	无形的
intangibleness	无形性
intangibly	无形地
integer	整数
integral	积分的
integrality	完整性
integrate	整合
integration	集成
integrator	积分器
integrity	完整性
integument	外皮
intellect	智力
intellection	思维
intellectual	知识分子
intellectualism	知识分子主义
intellectualization	知识分子化
intellectualize	使知识分子化
intellectualized	知识分子化的
intellectualizes	知识分子化
intellectualizing	知识分子化
intellectually	知识分子地
intelligence	智力
intelligent	聪明的
intelligently	聪明地
intelligentsia	知识分子阶层
intelligibility	可理解性
intelligible	可理解的
intelligibly	可理解地
intemperance	放纵
intemperate	放纵的
intemperateness	放纵
intend	打算
intense	强烈的
intensely	强烈地
intensification	加强
intensifier	强化剂
intensify	加强
intension	张力
intensity	强度
intensive	密集的
intensively	密集地
intensiveness	密集
intent	意图
intention	意图
intentional	故意的
intentionality	意图性
intentionally	故意地
intently	专心地
intentness	专心
inter	相互
interact	相互作用
interaction	相互作用
interactive	交互式的
interactively	互动地
interbrain	脑间
interbreed	杂交
interbreeding	杂交
intercalate	插入
intercalation	插入
intercede	调解
intercept	拦截
interception	拦截
interceptor	拦截器
intercession	调解
intercessor	调解人
interchange	交换
interchangeability	可互换性
interchangeable	可互换的
interchangeableness	可互换性
interchangeably	可互换地
intercollegiate	大学间的
intercom	对讲机
intercommunicate	互通
intercommunication	互通
intercommunion	互通
interconnect	连接
interconnectedness	连接性
interconnection	连接
intercontinental	洲际的
intercostal	肋间的
intercourse	交往
interdenominational	不同教派间的
interdepartmental	部门间的
interdepend	相互依赖
interdependence	相互依赖
interdependency	相互依赖
interdependent	相互依赖的
interdict	禁止
interdiction	禁止
interdisciplinary	跨学科的
interest	兴趣
interestedness	兴趣
interestingly	有趣地
interestingness	有趣性
interface	接口
interfaced	接口
interfacing	接口
interfaith	不同宗教间的
interfere	干涉
interference	干涉
interferometer	干涉仪
interferon	干扰素
intergalactic	银河间的
interim	临时的
interior	内部的
interiorize	使内在化
interject	插话
interjection	插入语
interlace	编织
interlanguage	中介语
interlard	夹杂
interlayer	中间层
interleaf	间页
interleave	交错
interleukin	白细胞介素
interlingua	国际语
interlink	相互联系
interlock	连锁
interlocutor	对话者
interlocutory	中间的
interlope	窜入
interloper	闯入者
interlude	插曲
intermarriage	通婚
intermarry	通婚
intermediary	中间人
intermediate	中间的
intermediation	调解
intermediator	调解人
interment	埋葬
intermezzo	插曲
interminable	无尽头的
interminably	无穷尽地
intermingle	混合
intermission	幕间休息
intermit	中断
intermittence	间歇
intermittency	间歇性
intermittent	间歇的
intermittently	间歇地
intermix	混合
intermixture	混合物
intern	实习生
internal	内部的
internality	内在性
internalization	内在化
internalize	使内在化
internally	内部地
internals	内部构造
international	国际的
internationalism	国际主义
internationalist	国际主义者
internationality	国际性
internationalization	国际化
internationalize	国际化
internationally	国际上
interne	住院医生
internecine	内讧的
internee	被拘留者
internement	拘留
interneship	住院医师实习
interneships	住院医师实习
internet	互联网
internist	内科医生
internment	拘留
internode	节间
internship	实习
internuncio	教廷公使
interoceptor	内感受器
interoffice	办公室间的
interoperability	互操作性
interpellate	盘问
interpellation	盘问
interpenetrate	相互渗透
interpenetration	相互渗透
interpersonal	人际的
interphone	内线电话
interplanetary	行星间的
interplay	相互作用
interpolate	插入
interpolation	插值
interpose	插入
interposition	插入
interpret	解释
interpretation	解释
interpretative	解释性的
interpreter	翻译员
interpretive	解释性的
interracial	种族间的
interregnum	空位期
interrelate	相互关联
interrelatedness	相互关联性
interrelation	相互关系
interrelationship	相互关系
interrogate	盘问
interrogation	盘问
interrogative	疑问的
interrogator	盘问者
interrogatory	盘问的
interrupt	中断
interrupter	中断器
interruption	中断
interscholastic	学校间的
intersect	相交
intersection	交叉口
intersex	双性人
interspersal	散布
intersperse	散布
interspersion	散布
interstate	州际的
interstellar	星际的
interstice	间隙
interstratify	使分层
intertrigo	皮肤间糜烂
intertwine	纠缠
interurban	城际的
interval	间隔
intervene	干涉
intervenor	第三方干涉人
intervention	干预
interview	面试
interviewee	受访者
interviewer	面试官
interweave	编织
intestacy	无遗嘱死亡
intestate	无遗嘱的
intestinal	肠的
intestine	肠
inti	印第安索尔
intifada	巴勒斯坦起义
intima	内膜
intimacy	亲密
intimate	亲密的
intimately	亲密地
intimation	暗示
intimidate	恐吓
intimidation	恐吓
into	进入
intolerable	无法忍受的
intolerably	难以忍受地
intolerance	不容忍
intolerant	不宽容的
intonate	吟唱
intonation	语调
intone	吟咏
intoxicant	使人陶醉的物质
intoxicate	使陶醉
intoxication	中毒
intractability	棘手
intractable	棘手的
intractableness	棘手
intrados	拱顶内侧
intramural	校内的
intranet	内联网
intransigence	不妥协
intransigency	不妥协
intransigent	不妥协的
intransigents	不妥协的人
intransitive	不及物的
intransitively	不及物地
intransitiveness	不及物性
intransitivity	不及物性
intravasation	血管内渗出
intravenous	静脉内的
intravenouses	静脉内的
intravenously	静脉内地
intrench	筑壕
intrenchment	筑壕
intrepid	无畏的
intrepidity	无畏
intrepidly	无畏地
intricacy	复杂性
intricate	复杂的
intricately	复杂地
intrigue	密谋
intriguer	密谋者
intriguingly	有趣地
intrinsic	内在的
intrinsically	内在地
intro	介绍
introduce	介绍
introduction	介绍
introductory	介绍性的
introit	引子
introitus	引子
introject	引入
introjection	引入
intromission	插入
intromit	插入
intron	内含子
introspect	自省
introspection	自省
introspective	自省的
introspectiveness	自省性
introversion	内向
introvert	内向者
intrude	侵入
intruder	侵入者
intrusion	侵入
intrusive	侵入的
intrusiveness	侵入性
intrust	委托
intubate	插管
intubation	插管
intuit	直觉
intuition	直觉
intuitionism	直觉主义
intuitive	直觉的
intuitively	直觉地
intumesce	膨胀
intumescence	肿胀
intussuscept	套叠
intussusception	套叠
inula	欧蓍
inulin	菊粉
inunction	涂油
inundate	淹没
inundation	洪水
inure	使习惯
inutility	无用
invade	入侵
invader	入侵者
invaginate	套入
invagination	套入
invalid	无效的
invalidate	使无效
invalidation	无效
invalidator	使无效者
invalidism	病态
invalidity	无效
invalidness	无效
invaluable	无价值的
invaluableness	无价值
invar	不变的合金
invariability	不变性
invariable	不变的
invariableness	不变性
invariably	不变地
invariance	不变性
invariant	不变的
invasion	入侵
